Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	how	2	6	2e-04	0	0.5
emp	how	2	6	0	0	0.5
CG2678	how	2	6	0	0	0.5
crc	how	2	6	4e-04	0	0.5
pros	how	2	6	0	0	0.5
neur	how	2	6	6e-04	0	0.5
Rab5	how	2	6	0	0	0.5
Rab7	how	2	6	0	0	0.5
Mmp2	how	2	6	0	0	0.5
W	how	2	6	4e-04	0	0.5
bowl	how	2	6	4e-04	0	0.5
fd59A	how	2	6	0	0	0.5
e	how	2	6	0	0	0.5
ben	how	2	6	1e-04	0	0.5
rdo	how	2	6	0	0	0.5
lin	how	2	6	0	0	0.5
tra	how	2	6	2e-04	0	0.5
tra2	how	2	6	2e-04	0	0.5
cathD	how	2	6	0	0	0.5
d	how	2	6	4e-04	0	0.5
lva	how	2	6	0	0	0.5
pbl	how	2	6	0	0	0.5
CG33205	how	2	6	1e-04	0	0.5
da	how	2	6	0	0	0.5
cactin	how	2	6	0	0	0.5
hpo	how	2	6	2e-04	0	0.5
Sema.2a	how	2	6	0	0	0.5
Eip74EF	how	2	6	0	0	0.5
eg	how	2	6	0	0	0.5
Arc42	how	2	6	0	0	0.5
toy	how	2	6	2e-04	0	0.5
Galpha73B	how	2	6	0	0	0.5
RhoGAPp190	how	2	6	2e-04	0	0.5
MED11	how	2	6	0	0	0.5
cher	how	2	6	0	0	0.5
BicD	how	2	6	0	0	0.5
MYPT.75D	how	2	6	3e-04	0	0.5
mus304	how	2	6	0	0	0.5
CdsA	how	2	6	0	0	0.5
btl	how	2	6	0	0	0.5
Cyt.c.d	how	2	6	0	0	0.5
tok	how	2	6	0	0	0.5
ttk	how	2	6	0	0	0.5
tamo	how	2	6	3e-04	0	0.5
CG6416	how	2	6	0	0	0.5
flfl	how	2	6	0	0	0.5
Pvr	how	2	6	0	0	0.5
kay	how	2	6	0	0	0.5
Jra	how	2	6	0	0	0.5
msk	how	2	6	2e-04	0	0.5
tll	how	2	6	0	0	0.5
Tm1	how	2	6	0	0	0.5
srp	how	2	6	0	0	0.5
Btk29A	how	2	6	0	0	0.5
fred	how	2	6	0	0	0.5
Src64B	how	2	6	0	0	0.5
Mmp1	how	2	6	0	0	0.5
sll	how	2	6	0	0	0.5
Hmgs	how	2	6	0	0	0.5
caps	how	2	6	0	0	0.5
Su.var.2.10	how	2	6	0	0	0.5
CycB	how	2	6	0	0	0.5
spir	how	2	6	0	0	0.5
spn.A	how	2	6	0	0	0.5
Ptpmeg	how	2	6	2e-04	0	0.5
qua	how	2	6	2e-04	0	0.5
msn	how	2	6	3e-04	0	0.5
ena	how	2	6	0	0	0.5
spen	how	2	6	0	0	0.5
emc	how	2	6	0	0	0.5
tsh	how	2	6	8e-04	0	0.5
Dat	how	2	6	0	0	0.5
Lac	how	2	6	0	0	0.5
dup	how	2	6	0	0	0.5
CG3075	how	2	6	3e-04	0	0.5
Akap200	how	2	6	0	0	0.5
CG18369	how	2	6	0	0	0.5
bnl	how	2	6	1e-04	0	0.5
sec23	how	2	6	0	0	0.5
Pde8	how	2	6	1e-04	0	0.5
Arp66B	how	2	6	2e-04	0	0.5
cos	how	2	6	0	0	0.5
Borr	how	2	6	0	0	0.5
X140up	how	2	6	0	0	0.5
Dhc64C	how	2	6	3e-04	0	0.5
Not1	how	2	6	0	0	0.5
CG9520	how	2	6	0	0	0.5
bib	how	2	6	5e-04	0	0.5
mib1	how	2	6	0	0	0.5
cas	how	2	6	0	0	0.5
Abi	how	2	6	0	0	0.5
betaTub56D	how	2	6	2e-04	0	0.5
nej	how	2	6	1e-04	0	0.5
dlg1	how	2	6	0	0	0.5
Lcp65Ag1	how	2	6	0	0	0.5
Es2	how	2	6	0	0	0.5
MED24	how	2	6	2e-04	0	0.5
Vhl	how	2	6	0	0	0.5
tral	how	2	6	0	0	0.5
sns	how	2	6	0	0	0.5
mbl	how	2	6	2e-04	0	0.5
sav	how	2	6	0	0	0.5
lola	how	2	6	0	0	0.5
robo	how	2	6	0	0	0.5
CG32486	how	2	6	0	0	0.5
santa.maria	how	2	6	0	0	0.5
stumps	how	2	6	0	0	0.5
abd.A	how	2	6	0	0	0.5
dock	how	2	6	0	0	0.5
Lar	how	2	6	3e-04	0	0.5
l.1.G0289	how	2	6	0	0	0.5
Abl	how	2	6	2e-04	0	0.5
Syb	how	2	6	0	0	0.5
dome	how	2	6	0	0	0.5
ofs	how	2	6	0	0	0.5
MED4	how	2	6	0	0	0.5
scrib	how	2	6	0	0	0.5
siz	how	2	6	2e-04	0	0.5
cbx	how	2	6	0	0	0.5
dsx	how	2	6	0	0	0.5
Sb	how	2	6	0	0	0.5
sax	how	2	6	0	0	0.5
foxo	how	2	6	0	0	0.5
Cyp1	how	2	6	0	0	0.5
brm	how	2	6	1e-04	0	0.5
rad50	how	2	6	0	0	0.5
chico	how	2	6	0	0	0.5
cp309	how	2	6	0	0	0.5
hdc	how	2	6	0	0	0.5
Axn	how	2	6	0	0	0.5
Apc2	how	2	6	0	0	0.5
PhKgamma	how	2	6	7e-04	0	0.5
eya	how	2	6	0	0	0.5
sktl	how	2	6	3e-04	0	0.5
sqd	how	2	6	0	0	0.5
Akt1	how	2	6	0	0	0.5
scyl	how	2	6	3e-04	0	0.5
cnk	how	2	6	0	0	0.5
CG8149	how	2	6	0	0	0.5
CG34379	how	2	6	0	0	0.5
Yp1	how	2	6	0	0	0.5
yrt	how	2	6	1e-04	0	0.5
bap	how	2	6	0	0	0.5
tud	how	2	6	3e-04	0	0.5
ct	how	2	6	0	0	0.5
tup	how	2	6	0	0	0.5
G.ialpha65A	how	2	6	0.0011	0	0.5
knrl	how	2	6	1e-04	0	0.5
Pkn	how	2	6	0	0	0.5
Sry.delta	how	2	6	0	0	0.5
Alh	how	2	6	0	0	0.5
pnut	how	2	6	0	0	0.5
phyl	how	2	6	0	0	0.5
CG17739	how	2	6	0	0	0.5
B4	how	2	6	0	0	0.5
CG2681	how	2	6	0	0	0.5
tow	how	2	6	0	0	0.5
hkl	how	2	6	0	0	0.5
sina	how	2	6	0	0	0.5
ry	how	2	6	0	0	0.5
rux	how	2	6	0	0	0.5
boss	how	2	6	1e-04	0	0.5
Mkp3	how	2	6	0	0	0.5
inaC	how	2	6	0	0	0.5
sno	how	2	6	0	0	0.5
jagn	how	2	6	1e-04	0	0.5
dpn	how	2	6	0	0	0.5
wrapper	how	2	6	0	0	0.5
Ca.alpha1D	how	2	6	0	0	0.5
E2f	how	2	6	0	0	0.5
Dp	how	2	6	0	0	0.5
l.2.efl	how	2	6	0	0	0.5
cnc	how	2	6	0	0	0.5
Atg5	how	2	6	0	0	0.5
acj6	how	2	6	0	0	0.5
Trl	how	2	6	2e-04	0	0.5
d4	how	2	6	0	0	0.5
CG16719	how	2	6	0	0	0.5
CadN	how	2	6	0	0	0.5
gro	how	2	6	2e-04	0	0.5
sec13	how	2	6	2e-04	0	0.5
klar	how	2	6	0	0	0.5
Rack1	how	2	6	0	0	0.5
Sobp	how	2	6	0	0	0.5
ash1	how	2	6	0	0	0.5
inv	how	2	6	0	0	0.5
shot	how	2	6	2e-04	0	0.5
Oseg1	how	2	6	1e-04	0	0.5
Spred	how	2	6	3e-04	0	0.5
puc	how	2	6	0	0	0.5
Atg6	how	2	6	0	0	0.5
CG3829	how	2	6	1e-04	0	0.5
sle	how	2	6	0	0	0.5
Cka	how	2	6	0	0	0.5
form3	how	2	6	0	0	0.5
Pk61C	how	2	6	0	0	0.5
Pcaf	how	2	6	0	0	0.5
sbb	how	2	6	0	0	0.5
Ef1gamma	how	2	6	0.0013	0	0.5
FKBP59	how	2	6	0	0	0.5
Eip71CD	how	2	6	0	0	0.5
xmas.2	how	2	6	0	0	0.5
ppan	how	2	6	0	0	0.5
Iswi	how	2	6	0	0	0.5
ine	how	2	6	1	-0.99913	0.5
Tina.1	how	2	6	0	0	0.5
bon	how	2	6	0	0	0.5
pot	how	2	6	0	0	0.5
chic	how	2	6	0	0	0.5
Hem	how	2	6	0	0	0.5
chif	how	2	6	0	0	0.5
S6kII	how	2	6	0	0	0.5
wal	how	2	6	1e-04	0	0.5
wls	how	2	6	0	0	0.5
Ddx1	how	2	6	0	0	0.5
Sulf1	how	2	6	0	0	0.5
CG3987	how	2	6	0	0	0.5
Abd.B	how	2	6	1e-04	0	0.5
Uba1	how	2	6	0	0	0.5
bigmax	how	2	6	0	0	0.5
NAT1	how	2	6	0	0	0.5
wupA	how	2	6	0	0	0.5
Vps28	how	2	6	0	0	0.5
G.oalpha47A	how	2	6	0	0	0.5
G.salpha60A	how	2	6	9e-04	0	0.5
dsf	how	2	6	0	0	0.5
Khc	how	2	6	1e-04	0	0.5
CG10641	how	2	6	0	0	0.5
Alk	how	2	6	3e-04	0	0.5
ey	how	2	6	0	0	0.5
noc	how	2	6	0	0	0.5
ix	how	2	6	0	0	0.5
Optix	how	2	6	7e-04	0	0.5
sdt	how	2	6	1e-04	0	0.5
Sxl	how	2	6	0	0	0.5
rib	how	2	6	2e-04	0	0.5
sas	how	2	6	1	-0.99915	0.5
Scgdelta	how	2	6	0	0	0.5
sw	how	2	6	0	0	0.5
fal	how	2	6	1e-04	0	0.5
ea	how	2	6	0	0	0.5
Ice	how	2	6	0	0	0.5
cic	how	2	6	0	0	0.5
Dok	how	2	6	0	0	0.5
rhea	how	2	6	0	0	0.5
Glycogenin	how	2	6	0	0	0.5
cin	how	2	6	0.0016	0	0.5
chp	how	2	6	5e-04	0	0.5
Dlic2	how	2	6	7e-04	0	0.5
Pk92B	how	2	6	0	0	0.5
Pak	how	2	6	0	0	0.5
Lim1	how	2	6	0	0	0.5
CG34450	how	2	6	0	0	0.5
Su.H.	how	2	6	2e-04	0	0.5
CG12301	how	2	6	4e-04	0	0.5
lilli	how	2	6	1e-04	0	0.5
toe	how	2	6	0	0	0.5
qkr58E.3	how	2	6	0	0	0.5
up	how	2	6	1e-04	0	0.5
hep	how	2	6	0	0	0.5
Dap160	how	2	6	0	0	0.5
l.2.gd1	how	2	6	0	0	0.5
hkb	how	2	6	1e-04	0	0.5
beta4GalNAcTA	how	2	6	0	0	0.5
Mer	how	2	6	0	0	0.5
Mtl	how	2	6	0	0	0.5
spin	how	2	6	5e-04	0	0.5
mfas	how	2	6	0	0	0.5
frc	how	2	6	0	0	0.5
Krn	how	2	6	2e-04	0	0.5
mam	how	2	6	0	0	0.5
brk	how	2	6	0	0	0.5
Ark	how	2	6	2e-04	0	0.5
mmy	how	2	6	0	0	0.5
mri	how	2	6	1e-04	0	0.5
Crk	how	2	6	1e-04	0	0.5
ssh	how	2	6	0	0	0.5
fs.1.K10	how	2	6	0	0	0.5
Psn	how	2	6	0	0	0.5
CG9509	how	2	6	0	0	0.5
CkIIalpha	how	2	6	0	0	0.5
car	how	2	6	0	0	0.5
capu	how	2	6	0	0	0.5
cact	how	2	6	0	0	0.5
Patj	how	2	6	0	0	0.5
dpp	how	2	6	0	0	0.5
xl6	how	2	6	0	0	0.5
dally	how	2	6	2e-04	0	0.5
Pi3K92E	how	2	6	0	0	0.5
E.bx.	how	2	6	0	0	0.5
emb	how	2	6	0	0	0.5
CtBP	how	2	6	0	0	0.5
Dad	how	2	6	0	0	0.5
amx	how	2	6	0	0	0.5
Ank2	how	2	6	0	0	0.5
CG34417	how	2	6	0	0	0.5
scra	how	2	6	0	0	0.5
